Package                                   Version               Build                         Size       Kind   Source
_python_abi3_support                      1.0                   hd8ed1ab_2                    8 KiB      conda  https://conda.anaconda.org/conda-forge/
aiofiles                                  24.1.0                pyhd8ed1ab_1                  19.2 KiB   conda  https://conda.anaconda.org/conda-forge/
aiohappyeyeballs                          2.6.1                 pyhd8ed1ab_0                  19.3 KiB   conda  https://conda.anaconda.org/conda-forge/
aiohttp                                   3.12.13               py313ha9b7d5b_0               961.7 KiB  conda  https://conda.anaconda.org/conda-forge/
aiosignal                                 1.3.2                 pyhd8ed1ab_0                  12.9 KiB   conda  https://conda.anaconda.org/conda-forge/
annotated-types                           0.7.0                 pyhd8ed1ab_1                  17.7 KiB   conda  https://conda.anaconda.org/conda-forge/
anyio                                     4.9.0                 pyh29332c3_0                  123.4 KiB  conda  https://conda.anaconda.org/conda-forge/
asgiref                                   3.8.1                 pyhd8ed1ab_1                  25.8 KiB   conda  https://conda.anaconda.org/conda-forge/
attrs                                     25.3.0                pyh71513ae_0                  55.8 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-auth                                0.9.0                 hb5b73c5_15                   104.3 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-cal                                 0.9.2                 h03444cf_0                    40.6 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-common                              0.12.3                h5505292_0                    216.8 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-compression                         0.3.1                 hca07070_5                    20.8 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-event-stream                        0.5.4                 h40449bf_12                   49.5 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-c-http                                0.10.2                hb5bd760_2                    165.5 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-io                                  0.20.1                hf355ecc_0                    171.3 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-mqtt                                0.13.1                h923d298_3                    146.4 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-s3                                  0.8.3                 h78ecdd8_0                    113.9 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-c-sdkutils                            0.2.4                 hca07070_0                    52.1 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-checksums                             0.2.7                 hca07070_1                    72.3 KiB   conda  https://conda.anaconda.org/conda-forge/
aws-crt-cpp                               0.32.10               h8dc2e5d_1                    258.4 KiB  conda  https://conda.anaconda.org/conda-forge/
aws-sdk-cpp                               1.11.510              h83870a5_12                   2.9 MiB    conda  https://conda.anaconda.org/conda-forge/
azure-core-cpp                            1.14.0                hd50102c_0                    287.4 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-identity-cpp                        1.10.0                hc602bab_0                    163 KiB    conda  https://conda.anaconda.org/conda-forge/
azure-storage-blobs-cpp                   12.13.0               h7585a09_1                    428.4 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-storage-common-cpp                  12.8.0                h9ca1f76_1                    118.4 KiB  conda  https://conda.anaconda.org/conda-forge/
azure-storage-files-datalake-cpp          12.12.0               hcdd55da_1                    191.4 KiB  conda  https://conda.anaconda.org/conda-forge/
backoff                                   2.2.1                 pyhd8ed1ab_1                  18.4 KiB   conda  https://conda.anaconda.org/conda-forge/
brotli-python                             1.1.0                 py313h928ef07_3               331 KiB    conda  https://conda.anaconda.org/conda-forge/
bzip2                                     1.0.8                 h99b78c6_7                    120 KiB    conda  https://conda.anaconda.org/conda-forge/
c-ares                                    1.34.5                h5505292_0                    175.5 KiB  conda  https://conda.anaconda.org/conda-forge/
ca-certificates                           2025.6.15             hbd8a1cb_0                    147.5 KiB  conda  https://conda.anaconda.org/conda-forge/
certifi                                   2025.6.15             pyhd8ed1ab_0                  151.7 KiB  conda  https://conda.anaconda.org/conda-forge/
cffi                                      1.17.1                py313hc845a76_0               275.5 KiB  conda  https://conda.anaconda.org/conda-forge/
charset-normalizer                        3.4.2                 pyhd8ed1ab_0                  49.3 KiB   conda  https://conda.anaconda.org/conda-forge/
click                                     8.2.1                 pyh707e725_0                  85.7 KiB   conda  https://conda.anaconda.org/conda-forge/
colorama                                  0.4.6                 pyhd8ed1ab_1                  26.4 KiB   conda  https://conda.anaconda.org/conda-forge/
cpython                                   3.13.5                py313hd8ed1ab_102             46.4 KiB   conda  https://conda.anaconda.org/conda-forge/
datasets                                  3.6.0                 pyhd8ed1ab_0                  330.9 KiB  conda  https://conda.anaconda.org/conda-forge/
deprecated                                1.2.18                pyhd8ed1ab_0                  14 KiB     conda  https://conda.anaconda.org/conda-forge/
dill                                      0.3.8                 pyhd8ed1ab_0                  86.1 KiB   conda  https://conda.anaconda.org/conda-forge/
dnspython                                 2.7.0                 pyhff2d567_1                  168.1 KiB  conda  https://conda.anaconda.org/conda-forge/
email-validator                           2.2.0                 pyhd8ed1ab_1                  43.4 KiB   conda  https://conda.anaconda.org/conda-forge/
email_validator                           2.2.0                 hd8ed1ab_1                    6.4 KiB    conda  https://conda.anaconda.org/conda-forge/
exceptiongroup                            1.3.0                 pyhd8ed1ab_0                  20.8 KiB   conda  https://conda.anaconda.org/conda-forge/
fastapi                                   0.115.14              pyhe01879c_0                  76.5 KiB   conda  https://conda.anaconda.org/conda-forge/
fastapi-cli                               0.0.7                 pyhd8ed1ab_0                  15.2 KiB   conda  https://conda.anaconda.org/conda-forge/
filelock                                  3.18.0                pyhd8ed1ab_0                  17.5 KiB   conda  https://conda.anaconda.org/conda-forge/
frozenlist                                1.6.0                 py313h857e90f_0               107.7 KiB  conda  https://conda.anaconda.org/conda-forge/
fsspec                                    2025.3.0              pyhd8ed1ab_0                  138 KiB    conda  https://conda.anaconda.org/conda-forge/
gettext                                   0.24.1                h3dcc1bd_0                    502.5 KiB  conda  https://conda.anaconda.org/conda-forge/
gettext-tools                             0.24.1                h493aca8_0                    3 MiB      conda  https://conda.anaconda.org/conda-forge/
gflags                                    2.2.2                 hf9b8971_1005                 80.2 KiB   conda  https://conda.anaconda.org/conda-forge/
gguf                                      0.17.1                pyhc364b38_0                  89.9 KiB   conda  https://conda.anaconda.org/conda-forge/
glog                                      0.7.1                 heb240a5_0                    109.6 KiB  conda  https://conda.anaconda.org/conda-forge/
gmp                                       6.3.0                 h7bae524_2                    356.6 KiB  conda  https://conda.anaconda.org/conda-forge/
gmpy2                                     2.2.1                 py313h2cdc120_0               159.5 KiB  conda  https://conda.anaconda.org/conda-forge/
googleapis-common-protos                  1.70.0                pyhd8ed1ab_0                  138.8 KiB  conda  https://conda.anaconda.org/conda-forge/
grpcio                                    1.71.0                py313he3ef9dc_1               823.7 KiB  conda  https://conda.anaconda.org/conda-forge/
grpcio-reflection                         1.71.0                pyhd8ed1ab_0                  27.2 KiB   conda  https://conda.anaconda.org/conda-forge/
grpcio-tools                              1.71.0                py313h7edee73_1               170.8 KiB  conda  https://conda.anaconda.org/conda-forge/
h11                                       0.16.0                pyhd8ed1ab_0                  36.8 KiB   conda  https://conda.anaconda.org/conda-forge/
h2                                        4.2.0                 pyhd8ed1ab_0                  52.6 KiB   conda  https://conda.anaconda.org/conda-forge/
hf-transfer                               0.1.9                 py313h68a744c_1               1.2 MiB    conda  https://conda.anaconda.org/conda-forge/
hf-xet                                    1.1.5                 py39h7e234a0_3                2.2 MiB    conda  https://conda.anaconda.org/conda-forge/
hpack                                     4.1.0                 pyhd8ed1ab_0                  30 KiB     conda  https://conda.anaconda.org/conda-forge/
httpcore                                  1.0.9                 pyh29332c3_0                  48.3 KiB   conda  https://conda.anaconda.org/conda-forge/
httptools                                 0.6.4                 py313h90d716c_0               82.7 KiB   conda  https://conda.anaconda.org/conda-forge/
httpx                                     0.28.1                pyhd8ed1ab_0                  61.6 KiB   conda  https://conda.anaconda.org/conda-forge/
huggingface_hub                           0.33.1                pyhd8ed1ab_0                  310.3 KiB  conda  https://conda.anaconda.org/conda-forge/
hyperframe                                6.1.0                 pyhd8ed1ab_0                  17 KiB     conda  https://conda.anaconda.org/conda-forge/
idna                                      3.10                  pyhd8ed1ab_1                  48.6 KiB   conda  https://conda.anaconda.org/conda-forge/
importlib-metadata                        8.5.0                 pyha770c72_1                  28 KiB     conda  https://conda.anaconda.org/conda-forge/
jinja2                                    3.1.6                 pyhd8ed1ab_0                  110.1 KiB  conda  https://conda.anaconda.org/conda-forge/
krb5                                      1.21.3                h237132a_0                    1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
lame                                      3.100                 h1a8c8d9_1003                 516.4 KiB  conda  https://conda.anaconda.org/conda-forge/
lcms2                                     2.17                  h7eeda09_0                    207.2 KiB  conda  https://conda.anaconda.org/conda-forge/
lerc                                      4.0.0                 hd64df32_1                    183.9 KiB  conda  https://conda.anaconda.org/conda-forge/
libabseil                                 20250127.1            cxx17_h07bc746_0              1.1 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow                                  20.0.0                hd5f8272_8_cpu                5.4 MiB    conda  https://conda.anaconda.org/conda-forge/
libarrow-acero                            20.0.0                hf07054f_8_cpu                491.4 KiB  conda  https://conda.anaconda.org/conda-forge/
